                         spt                           est_spt                       
instance size  best      runtime makespan ecart        runtime makespan ecart        
ft06     6x6     55           10      108  96,4              2       88  60,0        
ft10     10x10  930            5     2569 176,2              4     1074  15,5        
ft20     20x5  1165            1     2765 137,3              2     1267   8,8        
la01     10x5   666            1     1464 119,8              0      751  12,8        
la02     10x5   655            0     1943 196,6              1      821  25,3        
la03     10x5   597            0     1053  76,4              1      672  12,6        
la04     10x5   590            0     1491 152,7              0      711  20,5        
la05     10x5   593            1     1521 156,5              0      610   2,9        
la06     15x5   926            0     2372 156,2              1     1200  29,6        
la07     15x5   890            1     1823 104,8              1     1034  16,2        
la08     15x5   863            1     2309 167,6              1      942   9,2        
la09     15x5   951            0     2638 177,4              1     1045   9,9        
AVG      -        -          1,7        - 143,2            1,2        -  18,6        
